      TIME             V(CLK)             V(DT)             V(AQ)             V(BQ)      
   1.75607602e-08    0.00000000e+00    0.00000000e+00   -6.36853555e-08    1.19999776e+00
   1.75693895e-08    0.00000000e+00    0.00000000e+00   -4.13058728e-08    1.19999787e+00
   1.75764429e-08    0.00000000e+00    0.00000000e+00   -2.54067933e-08    1.19999796e+00
   1.75827911e-08    0.00000000e+00    0.00000000e+00   -1.27042628e-08    1.19999805e+00
   1.75885044e-08    0.00000000e+00    0.00000000e+00   -2.43198428e-09    1.19999812e+00
   1.75942177e-08    0.00000000e+00    0.00000000e+00    6.85382174e-09    1.19999820e+00
   1.75999310e-08    0.00000000e+00    0.00000000e+00    1.52485899e-08    1.19999828e+00
   1.76056443e-08    0.00000000e+00    0.00000000e+00    2.28383670e-08    1.19999836e+00
   1.76113576e-08    0.00000000e+00    0.00000000e+00    2.97007709e-08    1.19999843e+00
   1.76170709e-08    0.00000000e+00    0.00000000e+00    3.59058427e-08    1.19999846e+00
   1.76227842e-08    0.00000000e+00    0.00000000e+00    4.15168068e-08    1.19999845e+00
   1.76284975e-08    0.00000000e+00    0.00000000e+00    4.65907505e-08    1.19999841e+00
   1.76342108e-08    0.00000000e+00    0.00000000e+00    5.11792328e-08    1.19999835e+00
   1.76393528e-08    0.00000000e+00    0.00000000e+00    5.49318108e-08    1.19999829e+00
   1.76444948e-08    0.00000000e+00    0.00000000e+00    5.83598728e-08    1.19999825e+00
   1.76496367e-08    0.00000000e+00    0.00000000e+00    6.14915436e-08    1.19999823e+00
   1.76547787e-08    0.00000000e+00    0.00000000e+00    6.43524989e-08    1.19999824e+00
   1.76599207e-08    0.00000000e+00    0.00000000e+00    6.69661815e-08    1.19999827e+00
   1.76650627e-08    0.00000000e+00    0.00000000e+00    6.93539977e-08    1.19999833e+00
   1.76702046e-08    0.00000000e+00    0.00000000e+00    7.15354939e-08    1.19999840e+00
   1.76753466e-08    0.00000000e+00    0.00000000e+00    7.35285214e-08    1.19999847e+00
   1.76804886e-08    0.00000000e+00    0.00000000e+00    7.53493824e-08    1.19999855e+00
   1.76907725e-08    0.00000000e+00    0.00000000e+00    7.85388274e-08    1.19999870e+00
   1.77113404e-08    0.00000000e+00    0.00000000e+00    8.34547097e-08    1.19999896e+00
   1.77319083e-08    0.00000000e+00    0.00000000e+00    8.68676308e-08    1.19999914e+00
   1.77524762e-08    0.00000000e+00    0.00000000e+00    8.92374191e-08    1.19999927e+00
   1.77730441e-08    0.00000000e+00    0.00000000e+00    9.08831213e-08    1.19999937e+00
   1.77936120e-08    0.00000000e+00    0.00000000e+00    9.20261489e-08    1.19999945e+00
   1.78141799e-08    0.00000000e+00    0.00000000e+00    9.28201768e-08    1.19999951e+00
   1.78347478e-08    0.00000000e+00    0.00000000e+00    9.33718754e-08    1.19999957e+00
   1.78758836e-08    0.00000000e+00    0.00000000e+00    9.40373162e-08    1.19999967e+00
   1.79170194e-08    0.00000000e+00    0.00000000e+00    9.43508925e-08    1.19999974e+00
   1.79581552e-08    0.00000000e+00    0.00000000e+00    9.44989729e-08    1.19999980e+00
   1.79992910e-08    0.00000000e+00    0.00000000e+00    9.45691249e-08    1.19999984e+00
   1.80815626e-08    0.00000000e+00    0.00000000e+00    9.46221393e-08    1.19999990e+00
   1.82461057e-08    0.00000000e+00    0.00000000e+00    9.46355651e-08    1.19999996e+00
   1.84106489e-08    0.00000000e+00    0.00000000e+00    9.46338687e-08    1.19999998e+00
   1.85751921e-08    0.00000000e+00    0.00000000e+00    9.46343304e-08    1.19999999e+00
   1.87397353e-08    0.00000000e+00    0.00000000e+00    9.46342780e-08    1.19999999e+00
   1.90688216e-08    0.00000000e+00    0.00000000e+00    9.46342991e-08    1.19999999e+00
   1.95000000e-08    0.00000000e+00    0.00000000e+00    9.46342896e-08    1.19999999e+00
   1.95002094e-08    7.50000000e-03    0.00000000e+00    7.87080804e-07    1.20000062e+00
   1.95004187e-08    1.50000000e-02    0.00000000e+00    1.45481287e-06    1.20000121e+00
   1.95006281e-08    2.25000000e-02    0.00000000e+00    2.11035833e-06    1.20000179e+00
   1.95010469e-08    3.75000000e-02    0.00000000e+00    3.34917787e-06    1.20000286e+00
   1.95018844e-08    6.75000000e-02    0.00000000e+00    5.55025015e-06    1.20000469e+00
   1.95035594e-08    1.27500000e-01    0.00000000e+00    8.95374170e-06    1.20000731e+00
   1.95069094e-08    2.47500000e-01    0.00000000e+00    1.26317319e-05    1.20000966e+00
   1.95102594e-08    3.67500000e-01    0.00000000e+00    1.34108475e-05    1.20000970e+00
   1.95136094e-08    4.87500000e-01    0.00000000e+00    1.26661843e-05    1.20000878e+00
   1.95146629e-08    5.25237905e-01    0.00000000e+00    1.22221594e-05    1.20000839e+00
   1.95167699e-08    6.00713715e-01    0.00000000e+00    1.11369150e-05    1.20000747e+00
   1.95174579e-08    6.25357739e-01    0.00000000e+00    1.06406674e-05    1.20000707e+00
   1.95188339e-08    6.74645789e-01    0.00000000e+00    9.41963636e-06    1.20000609e+00
   1.95215858e-08    7.73221888e-01    0.00000000e+00    4.95330990e-06    1.20000253e+00
   1.95220019e-08    7.88127480e-01    0.00000000e+00    3.92888553e-06    1.20000172e+00
   1.95224180e-08    8.03033072e-01    0.00000000e+00    2.82897226e-06    1.20000085e+00
   1.95232502e-08    8.32844255e-01    0.00000000e+00    2.42851639e-07    1.19999880e+00
   1.95240825e-08    8.62655439e-01    0.00000000e+00   -2.92304513e-06    1.19999631e+00
   1.95249147e-08    8.92466623e-01    0.00000000e+00   -6.72941921e-06    1.19999333e+00
   1.95257469e-08    9.22277806e-01    0.00000000e+00   -1.11728850e-05    1.19998987e+00
   1.95265792e-08    9.52088990e-01    0.00000000e+00   -1.61831248e-05    1.19998600e+00
   1.95274114e-08    9.81900173e-01    0.00000000e+00   -2.16843646e-05    1.19998180e+00
   1.95282436e-08    1.01171136e+00    0.00000000e+00   -2.76306478e-05    1.19997730e+00
   1.95290758e-08    1.04152254e+00    0.00000000e+00   -3.39963778e-05    1.19997250e+00
   1.95299081e-08    1.07133372e+00    0.00000000e+00   -4.07611909e-05    1.19996743e+00
   1.95307403e-08    1.10114491e+00    0.00000000e+00   -4.79020307e-05    1.19996207e+00
   1.95315725e-08    1.13095609e+00    0.00000000e+00   -5.53901080e-05    1.19995644e+00
   1.95324048e-08    1.16076727e+00    0.00000000e+00   -6.31899412e-05    1.19995055e+00
   1.95332370e-08    1.19057846e+00    0.00000000e+00   -7.12591617e-05    1.19994443e+00
   1.95335000e-08    1.20000000e+00    0.00000000e+00   -7.38591466e-05    1.19994245e+00
   1.95335467e-08    1.20000000e+00    0.00000000e+00   -7.44175981e-05    1.19994201e+00
   1.95335879e-08    1.20000000e+00    0.00000000e+00   -7.49061884e-05    1.19994162e+00
   1.95336291e-08    1.20000000e+00    0.00000000e+00   -7.53929344e-05    1.19994124e+00
   1.95337114e-08    1.20000000e+00    0.00000000e+00   -7.63549793e-05    1.19994048e+00
   1.95338761e-08    1.20000000e+00    0.00000000e+00   -7.82336314e-05    1.19993902e+00
   1.95342056e-08    1.20000000e+00    0.00000000e+00   -8.18120826e-05    1.19993625e+00
   1.95348644e-08    1.20000000e+00    0.00000000e+00   -8.82777983e-05    1.19993132e+00
   1.95361821e-08    1.20000000e+00    0.00000000e+00   -9.86481058e-05    1.19992364e+00
   1.95388176e-08    1.20000000e+00    0.00000000e+00   -1.10783033e-04    1.19991492e+00
   1.95414530e-08    1.20000000e+00    0.00000000e+00   -1.13798398e-04    1.19991148e+00
   1.95440885e-08    1.20000000e+00    0.00000000e+00   -1.10061096e-04    1.19990631e+00
   1.95464604e-08    1.20000000e+00    0.00000000e+00   -1.02494189e-04    1.19989763e+00
   1.95485951e-08    1.20000000e+00    0.00000000e+00   -9.33892704e-05    1.19988843e+00
   1.95507298e-08    1.20000000e+00    0.00000000e+00   -8.27287139e-05    1.19987813e+00
   1.95528645e-08    1.20000000e+00    0.00000000e+00   -7.06418660e-05    1.19986642e+00
   1.95549992e-08    1.20000000e+00    0.00000000e+00   -5.72940751e-05    1.19985322e+00
   1.95571339e-08    1.20000000e+00    0.00000000e+00   -4.33693510e-05    1.19983886e+00
   1.95592687e-08    1.20000000e+00    0.00000000e+00   -2.95190954e-05    1.19982394e+00
   1.95614034e-08    1.20000000e+00    0.00000000e+00   -1.60130097e-05    1.19980923e+00
   1.95635381e-08    1.20000000e+00    0.00000000e+00   -2.96202290e-06    1.19979546e+00
   1.95656728e-08    1.20000000e+00    0.00000000e+00    9.54742090e-06    1.19978326e+00
   1.95678075e-08    1.20000000e+00    0.00000000e+00    2.14208349e-05    1.19977316e+00
   1.95699422e-08    1.20000000e+00    0.00000000e+00    3.25488125e-05    1.19976550e+00
   1.95720769e-08    1.20000000e+00    0.00000000e+00    4.28096997e-05    1.19976045e+00
   1.95742116e-08    1.20000000e+00    0.00000000e+00    5.20786072e-05    1.19975800e+00
   1.95763463e-08    1.20000000e+00    0.00000000e+00    6.02400520e-05    1.19975799e+00
   1.95784811e-08    1.20000000e+00    0.00000000e+00    6.72008880e-05    1.19976013e+00
   1.95806158e-08    1.20000000e+00    0.00000000e+00    7.29005761e-05    1.19976401e+00
   1.95827505e-08    1.20000000e+00    0.00000000e+00    7.73172675e-05    1.19976919e+00
   1.95848852e-08    1.20000000e+00    0.00000000e+00    8.04701816e-05    1.19977517e+00
   1.95870199e-08    1.20000000e+00    0.00000000e+00    8.24213731e-05    1.19978151e+00
   1.95891546e-08    1.20000000e+00    0.00000000e+00    8.32844969e-05    1.19978778e+00
   1.95912893e-08    1.20000000e+00    0.00000000e+00    8.32562322e-05    1.19979363e+00
   1.95934240e-08    1.20000000e+00    0.00000000e+00    8.26850408e-05    1.19979884e+00
   1.95955588e-08    1.20000000e+00    0.00000000e+00    8.21116982e-05    1.19980330e+00
   1.95976935e-08    1.20000000e+00    0.00000000e+00    8.20788639e-05    1.19980704e+00
   1.95998282e-08    1.20000000e+00    0.00000000e+00    8.28232201e-05    1.19981021e+00
   1.96019629e-08    1.20000000e+00    0.00000000e+00    8.42906616e-05    1.19981300e+00
   1.96040976e-08    1.20000000e+00    0.00000000e+00    8.63059786e-05    1.19981552e+00
   1.96062323e-08    1.20000000e+00    0.00000000e+00    8.86115883e-05    1.19981767e+00
   1.96083670e-08    1.20000000e+00    0.00000000e+00    9.08392906e-05    1.19981904e+00
   1.96105017e-08    1.20000000e+00    0.00000000e+00    9.25123377e-05    1.19981888e+00
   1.96126364e-08    1.20000000e+00    0.00000000e+00    9.30859181e-05    1.19981608e+00
   1.96147712e-08    1.20000000e+00    0.00000000e+00    9.20136590e-05    1.19980936e+00
   1.96169059e-08    1.20000000e+00    0.00000000e+00    8.88617489e-05    1.19979740e+00
   1.96190406e-08    1.20000000e+00    0.00000000e+00    8.34313828e-05    1.19977902e+00
   1.96211753e-08    1.20000000e+00    0.00000000e+00    7.57932976e-05    1.19975341e+00
   1.96233100e-08    1.20000000e+00    0.00000000e+00    6.62389186e-05    1.19972025e+00
   1.96254447e-08    1.20000000e+00    0.00000000e+00    5.52036591e-05    1.19967989e+00
   1.96275794e-08    1.20000000e+00    0.00000000e+00    4.31921110e-05    1.19963346e+00
   1.96297141e-08    1.20000000e+00    0.00000000e+00    3.07160557e-05    1.19958297e+00
   1.96318488e-08    1.20000000e+00    0.00000000e+00    1.82492591e-05    1.19953135e+00
   1.96339836e-08    1.20000000e+00    0.00000000e+00    6.19909531e-06    1.19948241e+00
   1.96361183e-08    1.20000000e+00    0.00000000e+00   -5.10743649e-06    1.19944061e+00
   1.96382530e-08    1.20000000e+00    0.00000000e+00   -1.54268069e-05    1.19941087e+00
   1.96403877e-08    1.20000000e+00    0.00000000e+00   -2.45946798e-05    1.19939833e+00
   1.96425224e-08    1.20000000e+00    0.00000000e+00   -3.25172281e-05    1.19940823e+00
   1.96446571e-08    1.20000000e+00    0.00000000e+00   -3.91602848e-05    1.19944581e+00
   1.96467918e-08    1.20000000e+00    0.00000000e+00   -4.45378880e-05    1.19951629e+00
   1.96489265e-08    1.20000000e+00    0.00000000e+00   -4.87012273e-05    1.19962486e+00
   1.96510613e-08    1.20000000e+00    0.00000000e+00   -5.17285878e-05    1.19977661e+00
   1.96531960e-08    1.20000000e+00    0.00000000e+00   -5.37165961e-05    1.19997661e+00
   1.96553307e-08    1.20000000e+00    0.00000000e+00   -5.47728736e-05    1.20022980e+00
   1.96574654e-08    1.20000000e+00    0.00000000e+00   -5.50100750e-05    1.20054092e+00
   1.96596001e-08    1.20000000e+00    0.00000000e+00   -5.45412106e-05    1.20091432e+00
   1.96617348e-08    1.20000000e+00    0.00000000e+00   -5.34761085e-05    1.20135352e+00
   1.96638695e-08    1.20000000e+00    0.00000000e+00   -5.19188578e-05    1.20186064e+00
   1.96660042e-08    1.20000000e+00    0.00000000e+00   -4.99660705e-05    1.20243597e+00
   1.96681389e-08    1.20000000e+00    0.00000000e+00   -4.77058105e-05    1.20307824e+00
   1.96702737e-08    1.20000000e+00    0.00000000e+00   -4.52170513e-05    1.20378541e+00
   1.96724084e-08    1.20000000e+00    0.00000000e+00   -4.25695436e-05    1.20455517e+00
   1.96745431e-08    1.20000000e+00    0.00000000e+00   -3.98239885e-05    1.20538507e+00
   1.96766778e-08    1.20000000e+00    0.00000000e+00   -3.70324321e-05    1.20627244e+00
   1.96788125e-08    1.20000000e+00    0.00000000e+00   -3.42388112e-05    1.20721439e+00
   1.96809472e-08    1.20000000e+00    0.00000000e+00   -3.14795938e-05    1.20820790e+00
   1.96830819e-08    1.20000000e+00    0.00000000e+00   -2.87844714e-05    1.20924990e+00
   1.96852166e-08    1.20000000e+00    0.00000000e+00   -2.61770686e-05    1.21033737e+00
