      TIME              V(A)              V(Y)             I(VVDD)     
   1.04646165e-09    1.20000000e+00    2.21319246e-01   -6.20000485e-05
   1.04679806e-09    1.20000000e+00    2.13722534e-01   -6.03952491e-05
   1.04713446e-09    1.20000000e+00    2.06315890e-01   -5.87936298e-05
   1.04747086e-09    1.20000000e+00    1.99099304e-01   -5.72006479e-05
   1.04780727e-09    1.20000000e+00    1.92072462e-01   -5.56152516e-05
   1.04814367e-09    1.20000000e+00    1.85234759e-01   -5.40428303e-05
   1.04848008e-09    1.20000000e+00    1.78585297e-01   -5.24822303e-05
   1.04881648e-09    1.20000000e+00    1.72122895e-01   -5.09387066e-05
   1.04915288e-09    1.20000000e+00    1.65846100e-01   -4.94109423e-05
   1.04948929e-09    1.20000000e+00    1.59753197e-01   -4.79040035e-05
   1.04982569e-09    1.20000000e+00    1.53842223e-01   -4.64163618e-05
   1.05016210e-09    1.20000000e+00    1.48110978e-01   -4.49528532e-05
   1.05049850e-09    1.20000000e+00    1.42557044e-01   -4.35117044e-05
   1.05083490e-09    1.20000000e+00    1.37177801e-01   -4.20974954e-05
   1.05117131e-09    1.20000000e+00    1.31970441e-01   -4.07081890e-05
   1.05150771e-09    1.20000000e+00    1.26931986e-01   -3.93480973e-05
   1.05184412e-09    1.20000000e+00    1.22059308e-01   -3.80149142e-05
   1.05218052e-09    1.20000000e+00    1.17349145e-01   -3.67126848e-05
   1.05251692e-09    1.20000000e+00    1.12798116e-01   -3.54388406e-05
   1.05285333e-09    1.20000000e+00    1.08402741e-01   -3.41971710e-05
   1.05318973e-09    1.20000000e+00    1.04159453e-01   -3.29848606e-05
   1.05352614e-09    1.20000000e+00    1.00064622e-01   -3.18054625e-05
   1.05386254e-09    1.20000000e+00    9.61145588e-02   -3.06559364e-05
   1.05419894e-09    1.20000000e+00    9.23055392e-02   -2.95396235e-05
   1.05453535e-09    1.20000000e+00    8.86338117e-02   -2.84532851e-05
   1.05487175e-09    1.20000000e+00    8.50956119e-02   -2.74000776e-05
   1.05520816e-09    1.20000000e+00    8.16871745e-02   -2.63765919e-05
   1.05554456e-09    1.20000000e+00    7.84047431e-02   -2.53858281e-05
   1.05588096e-09    1.20000000e+00    7.52445811e-02   -2.44242352e-05
   1.05621737e-09    1.20000000e+00    7.22029800e-02   -2.34946849e-05
   1.05655377e-09    1.20000000e+00    6.92762679e-02   -2.25935111e-05
   1.05689018e-09    1.20000000e+00    6.64608167e-02   -2.17234836e-05
   1.05722658e-09    1.20000000e+00    6.37530486e-02   -2.08808465e-05
   1.05756298e-09    1.20000000e+00    6.11494419e-02   -2.00682918e-05
   1.05789939e-09    1.20000000e+00    5.86465357e-02   -1.92819964e-05
   1.05823579e-09    1.20000000e+00    5.62409348e-02   -1.85245955e-05
   1.05857219e-09    1.20000000e+00    5.39293129e-02   -1.77922192e-05
   1.05890860e-09    1.20000000e+00    5.17084157e-02   -1.70874644e-05
   1.05924500e-09    1.20000000e+00    4.95750638e-02   -1.64064312e-05
   1.05958141e-09    1.20000000e+00    4.75261543e-02   -1.57516938e-05
   1.05991781e-09    1.20000000e+00    4.55586626e-02   -1.51193368e-05
   1.06025421e-09    1.20000000e+00    4.36696433e-02   -1.45119252e-05
   1.06059062e-09    1.20000000e+00    4.18562314e-02   -1.39255394e-05
   1.06092702e-09    1.20000000e+00    4.01156421e-02   -1.33627457e-05
   1.06126343e-09    1.20000000e+00    3.84451713e-02   -1.28196303e-05
   1.06159983e-09    1.20000000e+00    3.68421953e-02   -1.22987691e-05
   1.06193623e-09    1.20000000e+00    3.53041700e-02   -1.17962614e-05
   1.06227264e-09    1.20000000e+00    3.38286309e-02   -1.13146994e-05
   1.06260904e-09    1.20000000e+00    3.24131917e-02   -1.08502014e-05
   1.06294545e-09    1.20000000e+00    3.10555434e-02   -1.04053806e-05
   1.06328185e-09    1.20000000e+00    2.97534530e-02   -9.97637853e-06
   1.06361825e-09    1.20000000e+00    2.85047625e-02   -9.56583339e-06
   1.06395466e-09    1.20000000e+00    2.73073872e-02   -9.16991283e-06
   1.06429106e-09    1.20000000e+00    2.61593144e-02   -8.79128229e-06
   1.06462747e-09    1.20000000e+00    2.50586014e-02   -8.42613764e-06
   1.06496387e-09    1.20000000e+00    2.40033745e-02   -8.07717318e-06
   1.06530027e-09    1.20000000e+00    2.29918267e-02   -7.74061414e-06
   1.06563668e-09    1.20000000e+00    2.20222164e-02   -7.41918447e-06
   1.06597308e-09    1.20000000e+00    2.10928656e-02   -7.10913926e-06
   1.06630949e-09    1.20000000e+00    2.02021577e-02   -6.81323237e-06
   1.06664589e-09    1.20000000e+00    1.93485363e-02   -6.52774869e-06
   1.06698229e-09    1.20000000e+00    1.85305032e-02   -6.25547173e-06
   1.06731870e-09    1.20000000e+00    1.77466167e-02   -5.99271578e-06
   1.06765510e-09    1.20000000e+00    1.69954895e-02   -5.74229338e-06
   1.06799151e-09    1.20000000e+00    1.62757875e-02   -5.50054749e-06
